number_of_steps,episode_number,won,algorithm,state,Q_value_state
13,0,0,standard,,
22,1,0,standard,,
3,2,0,standard,,
9,3,0,standard,,
12,4,0,standard,,
3,5,0,standard,5,0.0
3,6,0,standard,5,0.0
9,7,0,standard,,
6,8,0,standard,5,0.0
12,9,0,standard,,
3,10,0,standard,5,0.0
7,11,0,standard,5,0.0
23,12,0,standard,,
6,13,0,standard,,
5,14,0,standard,,
23,15,1,standard,,
4,16,0,standard,,
8,17,0,standard,5,0.0
9,18,0,standard,,
5,19,0,standard,,
3,20,0,standard,,
6,21,0,standard,5,0.0
15,22,0,standard,,
4,23,0,standard,,
4,24,0,standard,5,0.0
2,25,0,standard,5,0.0
14,26,0,standard,,
2,27,0,standard,,
4,28,0,standard,,
11,29,0,standard,,
3,30,0,standard,5,0.0
5,31,0,standard,,
2,32,0,standard,,
12,33,0,standard,,
3,34,0,standard,,
7,35,0,standard,,
6,36,0,standard,5,0.0
13,37,0,standard,,
3,38,0,standard,5,0.0
10,39,0,standard,5,0.0
5,40,0,standard,,
7,41,0,standard,,
9,42,0,standard,,
6,43,0,standard,,
4,44,0,standard,,
10,45,0,standard,5,0.0
8,46,0,standard,,
19,47,0,standard,,
5,48,0,standard,,
8,49,0,standard,,
4,50,0,standard,5,0.0
4,51,0,standard,,
9,52,0,standard,,
4,53,0,standard,,
2,54,0,standard,,
3,55,0,standard,,
5,56,0,standard,,
9,57,0,standard,,
3,58,0,standard,,
9,59,0,standard,,
9,60,0,standard,,
2,61,0,standard,5,0.0
22,62,1,standard,,
3,63,0,standard,5,0.0
3,64,0,standard,,
13,65,0,standard,,
10,66,0,standard,,
6,67,0,standard,5,0.0
10,68,0,standard,,
13,69,0,standard,5,0.0
8,70,0,standard,,
2,71,0,standard,5,0.0
11,72,0,standard,,
8,73,0,standard,,
11,74,0,standard,,
4,75,0,standard,,
5,76,0,standard,,
4,77,0,standard,,
4,78,0,standard,5,0.0
2,79,0,standard,,
9,80,0,standard,,
2,81,0,standard,5,0.0
2,82,0,standard,5,0.0
2,83,0,standard,5,0.0
3,84,0,standard,,
5,85,0,standard,,
7,86,0,standard,,
7,87,0,standard,,
3,88,0,standard,5,0.0
2,89,0,standard,,
10,90,0,standard,,
13,91,0,standard,,
7,92,0,standard,5,0.0
22,93,0,standard,,
4,94,0,standard,,
6,95,0,standard,5,0.0
7,96,0,standard,,
5,97,0,standard,,
8,98,0,standard,,
10,99,0,standard,,
17,100,0,standard,,
10,101,0,standard,5,7.644119040000002e-06
7,102,0,standard,,
11,103,0,standard,,
4,104,0,standard,5,0.0
7,105,0,standard,,
2,106,0,standard,5,6.879707136000002e-06
5,107,0,standard,,
6,108,0,standard,,
10,109,0,standard,,
3,110,0,standard,,
4,111,0,standard,,
2,112,0,standard,5,2.0096388956160003e-05
8,113,0,standard,5,1.8086750060544002e-05
2,114,0,standard,,
13,115,0,standard,,
10,116,0,standard,5,1.6278075054489603e-05
9,117,0,standard,,
11,118,0,standard,,
4,119,0,standard,,
26,120,0,standard,5,2.7709066970136578e-05
21,121,0,standard,,
3,122,0,standard,,
8,123,0,standard,,
