number_of_steps,episode_number,won,algorithm,state,Q_value_state
3,0,0,standard,,
29,1,0,standard,,
8,2,0,standard,,
17,3,0,standard,,
8,4,0,standard,,
9,5,0,standard,,
4,6,0,standard,,
9,7,0,standard,,
9,8,0,standard,,
2,9,0,standard,5,0.0
4,10,0,standard,,
9,11,0,standard,,
2,12,0,standard,,
7,13,0,standard,,
2,14,0,standard,,
7,15,0,standard,,
2,16,0,standard,5,0.0
19,17,0,standard,,
5,18,0,standard,,
8,19,0,standard,,
5,20,0,standard,,
3,21,0,standard,,
2,22,0,standard,,
8,23,0,standard,5,0.0
16,24,0,standard,,
6,25,0,standard,,
22,26,0,standard,5,0.0
8,27,0,standard,,
7,28,0,standard,,
7,29,0,standard,5,0.0
7,30,0,standard,5,0.0
18,31,0,standard,,
28,32,0,standard,,
11,33,0,standard,,
9,34,0,standard,,
5,35,0,standard,,
10,36,0,standard,,
2,37,0,standard,5,0.0
6,38,0,standard,,
25,39,0,standard,5,0.0
3,40,0,standard,5,0.0
13,41,0,standard,,
14,42,0,standard,,
18,43,0,standard,,
2,44,0,standard,,
6,45,0,standard,5,0.0
4,46,0,standard,,
4,47,0,standard,,
6,48,0,standard,,
24,49,0,standard,,
12,50,0,standard,,
13,51,0,standard,5,0.0
3,52,0,standard,5,0.0
8,53,0,standard,,
10,54,0,standard,,
5,55,0,standard,,
15,56,0,standard,,
3,57,0,standard,,
6,58,0,standard,,
3,59,0,standard,5,0.0
11,60,0,standard,,
6,61,0,standard,,
2,62,0,standard,,
9,63,0,standard,,
8,64,0,standard,,
8,65,0,standard,5,0.0
24,66,0,standard,,
12,67,0,standard,,
7,68,0,standard,5,0.0
3,69,0,standard,5,0.0
6,70,0,standard,5,0.0
4,71,0,standard,,
2,72,0,standard,,
4,73,0,standard,5,0.0
4,74,0,standard,5,0.0
3,75,0,standard,5,0.0
5,76,0,standard,,
3,77,0,standard,,
6,78,0,standard,5,0.0
2,79,0,standard,5,0.0
3,80,0,standard,,
12,81,0,standard,,
13,82,0,standard,,
6,83,0,standard,,
6,84,0,standard,5,0.0
2,85,0,standard,5,0.0
5,86,0,standard,,
6,87,0,standard,,
5,88,0,standard,,
4,89,0,standard,,
7,90,0,standard,,
8,91,0,standard,,
24,92,1,standard,,
8,93,0,standard,5,0.0
11,94,0,standard,,
5,95,0,standard,,
6,96,0,standard,5,0.0
13,97,0,standard,,
2,98,0,standard,,
6,99,0,standard,5,0.0
11,100,0,standard,,
17,101,0,standard,5,0.0
14,102,0,standard,,
2,103,0,standard,,
2,104,0,standard,5,0.0
10,105,0,standard,,
2,106,0,standard,,
21,107,0,standard,,
5,108,0,standard,,
4,109,0,standard,5,0.0
2,110,0,standard,,
13,111,0,standard,,
16,112,0,standard,,
4,113,0,standard,5,0.0
8,114,0,standard,,
13,115,0,standard,5,0.0
6,116,0,standard,,
12,117,0,standard,,
5,118,0,standard,,
4,119,0,standard,,
9,120,0,standard,,
16,121,0,standard,,
3,122,0,standard,,
3,123,0,standard,,
6,124,0,standard,,
5,125,0,standard,,
3,126,0,standard,,
15,127,0,standard,,
2,128,0,standard,5,0.0
2,129,0,standard,,
2,130,0,standard,,
13,131,0,standard,,
26,132,0,standard,,
2,133,0,standard,5,0.0
12,134,0,standard,5,0.0008294400000000001
2,135,0,standard,5,0.0
2,136,0,standard,5,0.0
12,137,0,standard,,
11,138,0,standard,,
4,139,0,standard,,
11,140,0,standard,,
6,141,0,standard,,
4,142,0,standard,,
21,143,0,standard,,
3,144,0,standard,5,0.0
7,145,0,standard,,
10,146,0,standard,,
22,147,0,standard,,
8,148,0,standard,5,0.0
4,149,0,standard,,
11,150,0,standard,,
5,151,0,standard,,
2,152,0,standard,5,0.0
6,153,0,standard,,
6,154,0,standard,,
6,155,0,standard,,
2,156,0,standard,,
13,157,0,standard,,
8,158,0,standard,,
5,159,0,standard,,
5,160,0,standard,,
9,161,0,standard,5,0.0015012864
6,162,0,standard,,
8,163,0,standard,5,8.2385257365504e-06
7,164,0,standard,,
2,165,0,standard,5,7.414673162895361e-06
10,166,0,standard,5,6.673205846605824e-06
4,167,0,standard,5,0.0
17,168,0,standard,5,6.946195646835997e-06
12,169,0,standard,,
4,170,0,standard,,
12,171,1,standard,,
16,172,0,standard,,
11,173,0,standard,5,0.0019763738394624
14,174,0,standard,,
2,175,0,standard,5,6.7175252477906894e-06
5,176,0,standard,,
15,177,0,standard,,
11,178,0,standard,,
7,179,0,standard,,
6,180,0,standard,5,5.521495651939233e-07
5,181,0,standard,,
9,182,0,standard,,
6,183,0,standard,5,4.96934608674531e-07
3,184,0,standard,,
12,185,0,standard,,
2,186,0,standard,5,6.0457727230116205e-06
9,187,0,standard,,
13,188,0,standard,5,1.34586676014556e-06
9,189,0,standard,,
7,190,0,standard,,
9,191,0,standard,,
6,192,0,standard,5,1.2112800841310041e-06
14,193,0,standard,,
4,194,0,standard,,
9,195,0,standard,,
5,196,0,standard,,
4,197,0,standard,,
5,198,0,standard,,
12,199,0,standard,,
10,200,0,standard,,
4,201,0,standard,5,1.1164011438464185e-06
5,202,0,standard,,
5,203,0,standard,,
2,204,0,standard,,
10,205,0,standard,5,0.0001754586469569535
2,206,0,standard,5,0.00015791278226125815
19,207,0,standard,,
10,208,0,standard,,
10,209,0,standard,,
10,210,0,standard,,
6,211,0,standard,,
7,212,0,standard,5,3.3664515597213735e-06
18,213,0,standard,5,0.00016135606961543427
2,214,0,standard,,
2,215,0,standard,5,0.00014522046265389083
5,216,0,standard,,
3,217,0,standard,,
3,218,0,standard,,
7,219,0,standard,,
2,220,0,standard,5,0.00023851488468862802
3,221,0,standard,,
6,222,0,standard,5,3.029806403749236e-06
18,223,0,standard,,
7,224,0,standard,,
5,225,0,standard,,
8,226,0,standard,5,0.00036239374377689784
2,227,0,standard,5,0.00032615436939920805
7,228,0,standard,,
2,229,0,standard,5,0.00029353893245928723
10,230,0,standard,5,0.0003024635550846893
4,231,0,standard,,
9,232,0,standard,,
8,233,0,standard,5,0.0002722171995762204
18,234,0,standard,,
5,235,0,standard,,
8,236,0,standard,,
16,237,0,standard,,
3,238,0,standard,,
9,239,0,standard,,
2,240,0,standard,5,0.00030996762077098076
6,241,0,standard,,
7,242,0,standard,5,1.0654628820230676e-05
6,243,0,standard,5,9.589165938207608e-06
6,244,0,standard,,
2,245,0,standard,5,0.0002789708586938827
7,246,0,standard,,
8,247,0,standard,,
6,248,0,standard,5,1.821338462552071e-05
8,249,0,standard,5,0.0002510737728244944
23,250,0,standard,,
5,251,0,standard,,
2,252,0,standard,,
5,253,0,standard,,
5,254,0,standard,5,0.0042646670450369895
5,255,0,standard,,
18,256,0,standard,,
5,257,0,standard,,
2,258,0,standard,5,0.00032221769543386996
5,259,0,standard,,
10,260,0,standard,,
5,261,0,standard,,
8,262,0,standard,5,0.00028999592589048297
5,263,0,standard,,
5,264,0,standard,,
9,265,0,standard,,
2,266,0,standard,,
20,267,0,standard,,
11,268,0,standard,,
3,269,0,standard,,
2,270,0,standard,,
10,271,0,standard,5,0.0005229755543601443
2,272,0,standard,,
5,273,0,standard,,
5,274,0,standard,,
2,275,0,standard,5,0.0004706779989241299
22,276,0,standard,5,2.5949425438819897e-05
3,277,0,standard,,
2,278,0,standard,5,0.0006391396104757525
9,279,0,standard,5,0.00995534055376041
9,280,0,standard,,
7,281,0,standard,,
12,282,0,standard,,
5,283,0,standard,,
6,284,0,standard,,
8,285,0,standard,,
5,286,0,standard,,
5,287,0,standard,,
6,288,0,standard,,
12,289,0,standard,5,0.00895980649838437
4,290,0,standard,5,2.3354482894937907e-05
6,291,0,standard,,
2,292,0,standard,5,0.0015094590659010217
10,293,0,standard,,
3,294,0,standard,,
12,295,0,standard,,
4,296,0,standard,,
5,297,0,standard,,
20,298,0,standard,,
19,299,0,standard,,
2,300,0,standard,,
3,301,0,standard,,
5,302,0,standard,,
2,303,0,standard,5,0.0013211799888549285
11,304,0,standard,,
7,305,0,standard,5,2.6219564241127665e-05
4,306,0,standard,,
3,307,0,standard,,
3,308,0,standard,5,2.3597607817014898e-05
7,309,0,standard,,
7,310,0,standard,,
2,311,0,standard,,
2,312,0,standard,,
3,313,0,standard,,
2,314,0,standard,5,0.0015116547659055526
5,315,0,standard,,
7,316,0,standard,,
5,317,0,standard,,
14,318,0,standard,,
12,319,0,standard,,
23,320,0,standard,,
6,321,0,standard,,
2,322,0,standard,5,0.0016622035950701435
4,323,0,standard,,
8,324,0,standard,,
3,325,0,standard,,
8,326,0,standard,5,0.001495983235563129
2,327,0,standard,5,0.0013463849120068162
8,328,0,standard,,
6,329,0,standard,,
2,330,0,standard,,
6,331,0,standard,,
3,332,0,standard,,
9,333,0,standard,,
4,334,0,standard,,
9,335,0,standard,,
6,336,0,standard,,
3,337,0,standard,,
14,338,0,standard,,
8,339,0,standard,,
3,340,0,standard,,
2,341,0,standard,5,0.001596025109040116
3,342,0,standard,,
2,343,0,standard,5,0.0014364225981361044
5,344,0,standard,5,0.011862123210555015
2,345,0,standard,,
8,346,0,standard,5,0.0017027505081919666
7,347,0,standard,,
12,348,0,standard,,
5,349,0,standard,,
6,350,0,standard,,
8,351,0,standard,,
18,352,0,standard,,
2,353,0,standard,5,0.002427731521570859
9,354,0,standard,,
2,355,0,standard,5,0.0026304294249580706
10,356,0,standard,5,0.0023673864824622637
11,357,0,standard,,
2,358,0,standard,5,0.0029873618414377723
8,359,0,standard,5,0.002632891827353036
6,360,1,standard,,
5,361,0,standard,,
2,362,0,standard,5,0.002369602644617732
4,363,0,standard,,
2,364,0,standard,5,0.002132642380155959
11,365,0,standard,,
20,366,0,standard,,
6,367,1,standard,,
11,368,0,standard,,
6,369,0,standard,5,0.0002001913599630475
2,370,0,standard,5,0.0019405592043467525
12,371,0,standard,,
5,372,0,standard,,
15,373,0,standard,,
2,374,0,standard,5,0.001845950772873835
16,375,0,standard,5,0.0016613556955864515
3,376,0,standard,5,0.00018017222396674276
11,377,1,standard,,
4,378,0,standard,,
3,379,0,standard,,
3,380,0,standard,,
2,381,0,standard,5,0.0014952201260278063
6,382,0,standard,,
12,383,0,standard,,
7,384,0,standard,,
11,385,0,standard,,
23,386,0,standard,,
8,387,0,standard,,
8,388,0,standard,5,0.0014837130675639204
7,389,0,standard,,
8,390,0,standard,5,0.0019926812079341942
8,391,0,standard,,
9,392,1,standard,,
12,393,0,standard,,
5,394,0,standard,,
14,395,0,standard,,
12,396,0,standard,,
2,397,0,standard,5,0.002404945401634116
5,398,0,standard,,
14,399,0,standard,,
6,400,0,standard,,
4,401,0,standard,5,0.0002582561098867518
5,402,0,standard,,
4,403,0,standard,5,0.00023243049889807665
8,404,0,standard,5,0.0021644508614707043
2,405,0,standard,,
12,406,1,standard,,
16,407,0,standard,5,0.0031770680586702205
11,408,0,standard,,
5,409,0,standard,,
2,410,0,standard,5,0.0028593612528031984
5,411,0,standard,,
2,412,0,standard,5,0.0025734251275228784
20,413,0,standard,,
11,414,0,standard,5,0.032591000331744294
11,415,1,standard,,
14,416,0,standard,,
11,417,0,standard,,
11,418,1,standard,,
3,419,0,standard,,
12,420,0,standard,,
5,421,0,standard,,
14,422,0,standard,,
7,423,0,standard,,
5,424,0,standard,5,0.039453599551193985
5,425,0,standard,,
7,426,0,standard,,
6,427,0,standard,,
3,428,0,standard,,
7,429,0,standard,,
14,430,0,standard,5,0.0003537399973205483
5,431,0,standard,,
5,432,0,standard,,
5,433,0,standard,,
11,434,0,standard,,
5,435,0,standard,,
3,436,0,standard,5,0.00031836599758849345
5,437,0,standard,,
6,438,0,standard,,
14,439,0,standard,,
8,440,0,standard,,
10,441,0,standard,,
11,442,0,standard,,
11,443,0,standard,,
3,444,0,standard,,
8,445,0,standard,,
9,446,0,standard,,
2,447,0,standard,5,0.013176926638438734
14,448,0,standard,,
5,449,0,standard,,
3,450,0,standard,,
12,451,0,standard,5,0.09668923549209753
3,452,0,standard,,
9,453,0,standard,,
2,454,0,standard,5,0.01185923397459486
5,455,0,standard,,
4,456,0,standard,,
