number_of_steps,episode_number,won,algorithm,state,Q_value_state
2,0,0,standard,5,0.0
3,1,0,standard,,
3,2,0,standard,5,0.0
8,3,0,standard,,
9,4,0,standard,,
6,5,0,standard,,
20,6,0,standard,,
2,7,0,standard,5,0.0
2,8,0,standard,,
12,9,0,standard,,
2,10,0,standard,,
11,11,0,standard,,
8,12,1,standard,,
12,13,0,standard,,
7,14,0,standard,,
10,15,0,standard,5,0.0
18,16,0,standard,5,0.0
3,17,0,standard,,
6,18,0,standard,,
10,19,0,standard,,
6,20,0,standard,,
4,21,0,standard,,
5,22,0,standard,,
7,23,0,standard,,
5,24,0,standard,,
2,25,0,standard,,
14,26,0,standard,,
3,27,0,standard,,
14,28,0,standard,5,0.0
4,29,0,standard,5,0.0
7,30,0,standard,,
4,31,0,standard,,
2,32,0,standard,,
6,33,0,standard,,
10,34,0,standard,,
2,35,0,standard,5,0.0
5,36,0,standard,,
11,37,0,standard,,
15,38,0,standard,,
4,39,0,standard,5,0.0
2,40,0,standard,,
13,41,0,standard,,
8,42,0,standard,,
11,43,0,standard,,
19,44,0,standard,,
9,45,0,standard,,
10,46,0,standard,,
6,47,0,standard,,
3,48,0,standard,,
34,49,0,standard,,
3,50,0,standard,5,0.0
2,51,0,standard,,
3,52,0,standard,,
2,53,0,standard,5,0.0
8,54,0,standard,,
7,55,0,standard,,
2,56,0,standard,5,0.0
10,57,0,standard,5,0.0
11,58,0,standard,,
5,59,0,standard,,
7,60,0,standard,,
7,61,0,standard,,
2,62,0,standard,,
5,63,0,standard,,
4,64,0,standard,,
26,65,0,standard,5,0.0
5,66,0,standard,,
10,67,0,standard,,
4,68,0,standard,,
7,69,0,standard,,
3,70,0,standard,5,0.0
5,71,0,standard,,
9,72,0,standard,,
5,73,0,standard,,
7,74,0,standard,,
15,75,0,standard,5,0.0
14,76,0,standard,,
5,77,0,standard,,
10,78,0,standard,,
2,79,0,standard,5,0.0
12,80,0,standard,,
2,81,0,standard,5,0.0
8,82,0,standard,,
3,83,0,standard,,
15,84,0,standard,,
8,85,0,standard,,
2,86,0,standard,,
6,87,0,standard,,
7,88,0,standard,,
6,89,0,standard,5,0.0
5,90,0,standard,,
17,91,0,standard,,
4,92,0,standard,,
5,93,0,standard,,
12,94,0,standard,,
2,95,0,standard,,
2,96,0,standard,,
17,97,0,standard,,
4,98,0,standard,,
