number_of_steps,episode_number,won,algorithm,state,Q_value_state
11,248,0,standard,,
5,249,0,standard,,
16,250,0,standard,,
15,251,0,standard,,
7,252,0,standard,,
8,253,0,standard,,
11,254,0,standard,,
11,255,0,standard,,
6,256,0,standard,5,0.007760351176038955
9,257,0,standard,,
4,258,0,standard,,
3,259,0,standard,,
18,260,0,standard,,
3,261,0,standard,5,0.007702725397737259
7,262,0,standard,5,0.006932452857963532
7,263,0,standard,,
10,264,1,standard,,
7,265,0,standard,,
4,266,0,standard,,
4,267,0,standard,,
7,268,0,standard,,
6,269,0,standard,5,0.0072734938737572955
7,270,0,standard,5,0.0065461444863815655
17,271,0,standard,,
5,272,0,standard,,
7,273,0,standard,,
2,274,0,standard,,
18,275,0,standard,,
4,276,0,standard,5,0.007335229519307273
7,277,0,standard,,
7,278,0,standard,,
15,279,0,standard,,
9,280,0,standard,,
4,281,0,standard,5,0.007152040835269184
2,282,0,standard,5,0.007882646370215768
3,283,0,standard,5,0.006436836751742265
2,284,0,standard,,
13,285,0,standard,,
5,286,0,standard,,
16,287,0,standard,5,0.007401904640911402
11,288,0,standard,5,0.015487032434025255
2,289,0,standard,,
11,290,0,standard,,
8,291,0,standard,,
18,292,0,standard,,
8,293,0,standard,,
10,294,0,standard,5,0.007578654156140478
14,295,0,standard,5,0.012208755552157727
22,296,0,standard,5,0.010987879996941955
4,297,0,standard,,
24,298,0,standard,,
7,299,1,standard,,
13,300,0,standard,,
7,301,0,standard,,
8,302,0,standard,,
7,303,0,standard,,
15,304,0,standard,,
16,305,0,standard,,
3,306,0,standard,,
5,307,0,standard,,
19,308,0,standard,,
7,309,0,standard,,
5,310,0,standard,,
6,311,0,standard,5,0.013686978118461547
11,312,1,standard,,
4,313,0,standard,,
7,314,0,standard,,
10,315,0,standard,,
6,316,0,standard,5,0.012318280306615392
2,317,0,standard,,
10,318,0,standard,,
9,319,1,standard,,
3,320,0,standard,5,0.011086452275953854
17,321,0,standard,,
8,322,0,standard,5,0.01172296352487091
8,323,0,standard,,
9,324,0,standard,,
7,325,0,standard,,
2,326,0,standard,,
8,327,0,standard,5,0.011581058316997982
5,328,0,standard,,
6,329,0,standard,5,0.010811581467830102
2,330,0,standard,5,0.010422952485298183
10,331,0,standard,,
9,332,0,standard,,
2,333,0,standard,,
8,334,0,standard,,
13,335,0,standard,,
6,336,0,standard,,
2,337,0,standard,,
3,338,0,standard,,
11,339,0,standard,,
10,340,0,standard,,
11,341,0,standard,,
3,342,0,standard,,
10,343,0,standard,,
6,344,0,standard,5,0.011424780211865918
12,345,0,standard,,
6,346,0,standard,5,0.01213934929159039
2,347,0,standard,5,0.010059858206578379
3,348,0,standard,,
9,349,0,standard,,
3,350,0,standard,,
2,351,0,standard,5,0.009053872385920541
21,352,0,standard,,
4,353,0,standard,,
2,354,0,standard,,
17,355,0,standard,,
10,356,0,standard,,
2,357,0,standard,,
2,358,0,standard,,
15,359,0,standard,,
6,360,0,standard,,
8,361,0,standard,5,0.008148485147328487
5,362,0,standard,,
2,363,0,standard,,
10,364,0,standard,,
8,365,0,standard,,
16,366,0,standard,,
2,367,0,standard,,
5,368,0,standard,,
3,369,0,standard,,
8,370,0,standard,,
11,371,0,standard,,
3,372,0,standard,,
20,373,0,standard,,
6,374,0,standard,,
12,375,0,standard,,
16,376,0,standard,,
2,377,0,standard,,
8,378,0,standard,,
5,379,0,standard,,
3,380,0,standard,,
6,381,0,standard,,
8,382,0,standard,,
6,383,0,standard,,
16,384,0,standard,,
16,385,0,standard,,
10,386,0,standard,,
8,387,0,standard,,
9,388,0,standard,,
21,389,0,standard,,
13,390,0,standard,,
8,391,0,standard,,
14,392,0,standard,,
5,393,0,standard,,
30,394,0,standard,,
8,395,0,standard,,
10,396,0,standard,,
5,397,0,standard,5,0.03244025365898713
51,398,0,standard,5,0.017576802143775872
4,399,0,standard,5,0.015819121929398286
28,400,0,standard,,
36,401,0,standard,5,0.02919622829308842
2,402,0,standard,,
4,403,0,standard,,
9,404,1,standard,,
6,405,0,standard,5,0.014237209736458457
32,406,1,standard,,
3,407,0,standard,,
17,408,0,standard,,
19,409,0,standard,,
9,410,1,standard,,
4,411,0,standard,,
7,412,0,standard,,
2,413,0,standard,,
12,414,0,standard,,
6,415,0,standard,,
13,416,0,standard,5,0.014890520303767892
6,417,0,standard,,
11,418,0,standard,,
2,419,0,standard,,
10,420,0,standard,,
6,421,0,standard,5,0.013401468273391103
7,422,0,standard,,
7,423,0,standard,5,0.012061321446051992
8,424,0,standard,,
3,425,0,standard,5,0.010855189301446792
8,426,0,standard,,
30,427,0,standard,,
2,428,0,standard,5,0.017672298166676766
3,429,0,standard,,
6,430,0,standard,5,0.011539051545473092
3,431,0,standard,5,0.010385146390925783
3,432,0,standard,5,0.009346631751833204
11,433,0,standard,,
5,434,0,standard,,
6,435,0,standard,,
10,436,0,standard,,
2,437,0,standard,,
13,438,0,standard,,
10,439,0,standard,,
17,440,0,standard,,
18,441,0,standard,5,0.016767104025994278
11,442,0,standard,,
2,443,0,standard,5,0.01509039362339485
3,444,0,standard,,
14,445,0,standard,,
5,446,0,standard,,
14,447,0,standard,,
3,448,0,standard,5,0.008411968576649885
7,449,0,standard,,
13,450,0,standard,5,0.007570771718984896
16,451,0,standard,,
22,452,0,standard,,
17,453,0,standard,,
4,454,0,standard,,
16,455,0,standard,5,0.013581354261055365
5,456,0,standard,,
10,457,0,standard,,
10,458,0,standard,,
11,459,0,standard,,
17,460,0,standard,5,0.012223218834949829
2,461,0,standard,5,0.011000896951454845
7,462,0,standard,5,0.02016480083773561
8,463,0,standard,,
5,464,0,standard,,
14,465,0,standard,,
18,466,0,standard,,
19,467,0,standard,,
15,468,0,standard,5,0.03602655349352264
8,469,0,standard,,
5,470,0,standard,5,0.03242389814417038
2,471,0,standard,,
2,472,0,standard,5,0.01779184439041827
8,473,0,standard,,
7,474,0,standard,5,0.020080709361558088
6,475,0,standard,5,0.018072638425402278
10,476,0,standard,,
8,477,0,standard,,
8,478,0,standard,,
10,479,0,standard,,
3,480,0,standard,5,0.01626537458286205
13,481,0,standard,5,0.014638837124575844
2,482,0,standard,,
9,483,0,standard,,
4,484,0,standard,5,0.01317495341211826
6,485,0,standard,,
5,486,0,standard,,
7,487,0,standard,5,0.011857458070906433
8,488,0,standard,,
28,489,0,standard,,
7,490,0,standard,5,0.01067171226381579
7,491,0,standard,,
8,492,0,standard,,
12,493,0,standard,,
10,494,0,standard,,
32,495,1,standard,,
8,496,0,standard,5,0.019236683014830898
19,497,0,standard,,
6,498,0,standard,,
2,499,0,standard,5,0.01731301471334781
8,500,0,standard,,
11,501,0,standard,,
3,502,0,standard,5,0.01419483299214157
21,503,0,standard,,
10,504,0,standard,,
29,505,0,standard,,
8,506,0,standard,,
6,507,0,standard,,
24,508,0,standard,,
10,509,0,standard,,
17,510,0,standard,,
11,511,1,standard,,
2,512,0,standard,,
15,513,0,standard,,
16,514,0,standard,,
16,515,0,standard,,
10,516,0,standard,,
17,517,0,standard,,
10,518,0,standard,,
15,519,1,standard,,
18,520,0,standard,,
22,521,0,standard,,
5,522,0,standard,5,0.029181508329753338
3,523,0,standard,,
5,524,0,standard,,
10,525,0,standard,,
10,526,0,standard,,
17,527,0,standard,,
9,528,0,standard,,
3,529,0,standard,5,0.025490971078360534
18,530,0,standard,,
19,531,0,standard,,
6,532,0,standard,,
9,533,0,standard,,
11,534,0,standard,,
11,535,1,standard,,
8,536,0,standard,,
8,537,0,standard,,
15,538,0,standard,,
20,539,1,standard,,
6,540,0,standard,5,0.022941873970524482
4,541,0,standard,5,0.020647686573472032
6,542,0,standard,,
10,543,0,standard,,
14,544,0,standard,,
11,545,0,standard,,
14,546,0,standard,,
12,547,0,standard,,
14,548,0,standard,,
14,549,0,standard,,
2,550,0,standard,5,0.026212100756546584
8,551,0,standard,,
12,552,1,standard,,
2,553,0,standard,5,0.025158959964103552
13,554,0,standard,,
10,555,0,standard,,
10,556,0,standard,,
16,557,0,standard,,
16,558,0,standard,,
11,559,0,standard,,
8,560,0,standard,,
8,561,0,standard,,
18,562,0,standard,,
18,563,0,standard,,
2,564,0,standard,,
4,565,0,standard,,
15,566,0,standard,,
3,567,0,standard,,
2,568,0,standard,,
17,569,0,standard,,
19,570,0,standard,,
11,571,0,standard,,
3,572,0,standard,5,0.024345239699808036
6,573,0,standard,5,0.02191071572982723
18,574,0,standard,,
3,575,0,standard,,
6,576,0,standard,5,0.019719644156844508
11,577,0,standard,,
3,578,0,standard,5,0.017747679741160056
2,579,0,standard,,
3,580,0,standard,,
8,581,0,standard,,
15,582,0,standard,,
2,583,0,standard,,
7,584,0,standard,,
8,585,0,standard,,
12,586,0,standard,,
3,587,0,standard,5,0.018526066750977146
18,588,0,standard,5,0.02418100607692648
8,589,0,standard,,
2,590,0,standard,,
6,591,0,standard,5,0.016673460075879432
