number_of_steps,episode_number,won,algorithm,state,Q_value_state
9,0,0,standard,,
22,1,1,standard,,
12,2,0,standard,,
5,3,0,standard,,
23,4,0,standard,,
5,5,0,standard,,
4,6,0,standard,5,0.0
22,7,0,standard,,
4,8,0,standard,,
11,9,0,standard,,
39,10,0,standard,,
4,11,0,standard,,
8,12,0,standard,,
4,13,0,standard,,
13,14,0,standard,,
7,15,0,standard,,
6,16,0,standard,,
2,17,0,standard,5,0.0
3,18,0,standard,,
4,19,0,standard,,
4,20,0,standard,,
2,21,0,standard,,
4,22,0,standard,,
7,23,0,standard,,
8,24,0,standard,,
5,25,0,standard,,
4,26,0,standard,,
5,27,0,standard,,
4,28,0,standard,,
6,29,0,standard,,
2,30,0,standard,,
6,31,0,standard,,
9,32,0,standard,,
3,33,0,standard,,
8,34,0,standard,,
24,35,0,standard,,
9,36,0,standard,,
23,37,0,standard,,
8,38,0,standard,5,0.0
3,39,0,standard,5,0.0
5,40,0,standard,,
4,41,0,standard,,
5,42,0,standard,,
4,43,0,standard,5,0.0
9,44,0,standard,5,0.0
5,45,0,standard,,
8,46,0,standard,,
9,47,0,standard,,
10,48,0,standard,,
5,49,0,standard,,
8,50,0,standard,5,0.0
6,51,0,standard,,
5,52,0,standard,,
3,53,0,standard,,
3,54,0,standard,,
6,55,0,standard,5,0.0
8,56,0,standard,,
17,57,0,standard,5,0.0
10,58,0,standard,,
3,59,0,standard,,
3,60,0,standard,5,0.0
13,61,0,standard,,
2,62,0,standard,,
7,63,0,standard,,
5,64,0,standard,,
12,65,0,standard,,
6,66,0,standard,,
8,67,0,standard,,
3,68,0,standard,,
26,69,0,standard,5,0.0
15,70,0,standard,,
5,71,0,standard,,
21,72,0,standard,,
13,73,0,standard,,
8,74,0,standard,5,0.0
4,75,0,standard,,
12,76,0,standard,,
2,77,0,standard,5,0.0
6,78,0,standard,,
4,79,0,standard,5,0.0
4,80,0,standard,5,0.0
4,81,0,standard,5,0.0
6,82,0,standard,,
11,83,0,standard,,
4,84,0,standard,5,0.0
9,85,0,standard,,
9,86,0,standard,,
3,87,0,standard,,
3,88,0,standard,5,0.0
6,89,0,standard,5,0.0
3,90,0,standard,,
3,91,0,standard,,
3,92,0,standard,5,0.0
3,93,0,standard,5,0.0
2,94,0,standard,,
5,95,0,standard,,
7,96,0,standard,,
3,97,0,standard,,
2,98,0,standard,,
6,99,0,standard,,
3,100,0,standard,5,0.0
8,101,1,standard,,
7,102,0,standard,,
10,103,0,standard,,
7,104,0,standard,5,0.0
15,105,0,standard,,
5,106,0,standard,,
4,107,0,standard,5,0.0
8,108,0,standard,,
18,109,0,standard,,
10,110,0,standard,,
2,111,0,standard,5,0.0
5,112,0,standard,,
4,113,0,standard,,
5,114,0,standard,,
6,115,0,standard,,
23,116,0,standard,,
6,117,0,standard,5,4.742158665680055e-05
7,118,0,standard,,
11,119,0,standard,,
10,120,0,standard,,
2,121,0,standard,,
4,122,0,standard,5,0.00010896581966984053
5,123,0,standard,,
4,124,0,standard,,
7,125,0,standard,,
9,126,0,standard,,
11,127,0,standard,,
9,128,0,standard,,
2,129,0,standard,,
14,130,0,standard,,
6,131,0,standard,5,9.919807180571599e-05
3,132,0,standard,5,8.92782646251444e-05
20,133,0,standard,,
7,134,0,standard,,
5,135,0,standard,,
5,136,0,standard,,
6,137,0,standard,5,8.325115221951212e-05
25,138,0,standard,,
10,139,0,standard,,
6,140,0,standard,,
8,141,0,standard,,
5,142,0,standard,,
40,143,0,standard,,
6,144,0,standard,,
5,145,0,standard,5,0.0
5,146,0,standard,,
11,147,0,standard,,
10,148,0,standard,5,3.0367526648706974e-05
11,149,0,standard,,
4,150,0,standard,,
7,151,0,standard,,
30,152,0,standard,,
5,153,0,standard,,
16,154,1,standard,,
2,155,0,standard,,
10,156,0,standard,,
20,157,0,standard,,
6,158,0,standard,,
5,159,0,standard,,
4,160,0,standard,,
45,161,0,standard,5,7.646792599379247e-05
7,162,0,standard,5,0.0001962387587953179
13,163,0,standard,,
3,164,0,standard,,
5,165,0,standard,,
5,166,0,standard,,
6,167,0,standard,,
23,168,0,standard,,
3,169,0,standard,5,0.0001766148829157861
5,170,0,standard,,
26,171,0,standard,,
6,172,0,standard,,
14,173,0,standard,,
7,174,0,standard,5,0.000239846335336997
10,175,0,standard,,
12,176,0,standard,,
11,177,0,standard,,
2,178,0,standard,,
7,179,0,standard,,
17,180,0,standard,,
5,181,0,standard,,
4,182,0,standard,5,0.00021586170180329728
3,183,0,standard,,
4,184,0,standard,,
